year,pop,quantity,mean
1981,Goodnews,spawners,3688
1982,Goodnews,spawners,1395
1983,Goodnews,spawners,6027
1984,Goodnews,spawners,3260
1985,Goodnews,spawners,2831
1986,Goodnews,spawners,2080
1987,Goodnews,spawners,2272
1988,Goodnews,spawners,2712
1989,Goodnews,spawners,1915
1990,Goodnews,spawners,3636
1991,Goodnews,spawners,2080
1992,Goodnews,spawners,1445
1993,Goodnews,spawners,2132
1994,Goodnews,spawners,3061
1995,Goodnews,spawners,4678
1996,Goodnews,spawners,2931
1997,Goodnews,spawners,2897
1998,Goodnews,spawners,3553
1999,Goodnews,spawners,3703
2000,Goodnews,spawners,2670
2001,Goodnews,spawners,5351
2002,Goodnews,spawners,3025
2003,Goodnews,spawners,2248
2004,Goodnews,spawners,4438
2005,Goodnews,spawners,4781
2006,Goodnews,spawners,4572
2007,Goodnews,spawners,3914
2008,Goodnews,spawners,2223
2009,Goodnews,spawners,1669
2010,Goodnews,spawners,2176
2011,Goodnews,spawners,2045
2012,Goodnews,spawners,524
2013,Goodnews,spawners,1187
2014,Goodnews,spawners,750
2015,Goodnews,spawners,1494
2016,Goodnews,spawners,3767
2017,Goodnews,spawners,6881
2018,Goodnews,spawners,NA
1981,Goodnews,recruits,NA
1982,Goodnews,recruits,NA
1983,Goodnews,recruits,NA
1984,Goodnews,recruits,NA
1985,Goodnews,recruits,3905
1986,Goodnews,recruits,NA
1987,Goodnews,recruits,NA
1988,Goodnews,recruits,NA
1989,Goodnews,recruits,NA
1990,Goodnews,recruits,NA
1991,Goodnews,recruits,2495.904
1992,Goodnews,recruits,2352.52
1993,Goodnews,recruits,4629.5864
1994,Goodnews,recruits,2835.8394
1995,Goodnews,recruits,9725.4584
1996,Goodnews,recruits,2589.7684
1997,Goodnews,recruits,2605.84
1998,Goodnews,recruits,5163.221
1999,Goodnews,recruits,3196.506
2000,Goodnews,recruits,6870.58
2001,Goodnews,recruits,5560.966
2002,Goodnews,recruits,3060.975
2003,Goodnews,recruits,3630.512
2004,Goodnews,recruits,2646.24
2005,Goodnews,recruits,6187.137
2006,Goodnews,recruits,4672.38
2007,Goodnews,recruits,9094.726
2008,Goodnews,recruits,1889.173
2009,Goodnews,recruits,1867.671
2010,Goodnews,recruits,NA
2011,Goodnews,recruits,NA
2012,Goodnews,recruits,NA
2013,Goodnews,recruits,NA
2014,Goodnews,recruits,NA
2015,Goodnews,recruits,NA
2016,Goodnews,recruits,NA
2017,Goodnews,recruits,NA
2018,Goodnews,recruits,NA