Year,mean,n,Population,Region
1984,868.8632813,259,Salcha,Yukon (US)
1985,852.5551471,288,Salcha,Yukon (US)
1986,868.287037,230,Salcha,Yukon (US)
1987,865.4987342,395,Salcha,Yukon (US)
1988,880.711775,572,Salcha,Yukon (US)
1989,886.7836257,172,Salcha,Yukon (US)
1990,883.8238916,816,Salcha,Yukon (US)
1991,856.7354369,422,Salcha,Yukon (US)
1992,871.1278195,276,Salcha,Yukon (US)
1993,839.3959732,149,Salcha,Yukon (US)
1994,842.3611111,288,Salcha,Yukon (US)
1995,852.1311475,366,Salcha,Yukon (US)
1996,871.1857143,350,Salcha,Yukon (US)
1997,874.952381,105,Salcha,Yukon (US)
1998,757.9767442,43,Salcha,Yukon (US)
1999,855.6756757,185,Salcha,Yukon (US)
2000,769.7368421,19,Salcha,Yukon (US)
2001,826.0526316,114,Salcha,Yukon (US)
2002,874.5495495,111,Salcha,Yukon (US)
2003,866.8571429,70,Salcha,Yukon (US)
2004,880.5333333,150,Salcha,Yukon (US)
2005,831.7955182,357,Salcha,Yukon (US)
2006,856.4056225,249,Salcha,Yukon (US)
2007,830.1709402,117,Salcha,Yukon (US)
2008,830.0729927,137,Salcha,Yukon (US)
2009,859.15,200,Salcha,Yukon (US)
2010,806.1607143,168,Salcha,Yukon (US)
2011,843.8446215,251,Salcha,Yukon (US)
2012,819.2338983,296,Salcha,Yukon (US)
2013,833.960396,101,Salcha,Yukon (US)
2014,835.8098592,142,Salcha,Yukon (US)
2015,831.460177,226,Salcha,Yukon (US)
2016,743.4789474,190,Salcha,Yukon (US)
2017,NA,NA,Salcha,Yukon (US)
1960,NA,NA,MainstemLower,Yukon (US)
1961,NA,NA,MainstemLower,Yukon (US)
1962,NA,NA,MainstemLower,Yukon (US)
1963,NA,NA,MainstemLower,Yukon (US)
1964,NA,NA,MainstemLower,Yukon (US)
1965,NA,NA,MainstemLower,Yukon (US)
1966,NA,NA,MainstemLower,Yukon (US)
1967,761.875,42,MainstemLower,Yukon (US)
1968,631.4117647,35,MainstemLower,Yukon (US)
1969,NA,NA,MainstemLower,Yukon (US)
1970,NA,NA,MainstemLower,Yukon (US)
1971,595.2777778,36,MainstemLower,Yukon (US)
1972,NA,NA,MainstemLower,Yukon (US)
1973,846,10,MainstemLower,Yukon (US)
1974,NA,NA,MainstemLower,Yukon (US)
1975,NA,NA,MainstemLower,Yukon (US)
1976,765.0512821,118,MainstemLower,Yukon (US)
1977,831.3910256,313,MainstemLower,Yukon (US)
1978,763.0972222,144,MainstemLower,Yukon (US)
1979,692.6304348,46,MainstemLower,Yukon (US)
1980,717.731405,242,MainstemLower,Yukon (US)
1981,791.4864048,672,MainstemLower,Yukon (US)
1982,667.244,500,MainstemLower,Yukon (US)
1983,726.9680511,626,MainstemLower,Yukon (US)
1984,739.0096735,829,MainstemLower,Yukon (US)
1985,698.9267399,576,MainstemLower,Yukon (US)
1986,761.3391892,827,MainstemLower,Yukon (US)
1987,816.2513602,986,MainstemLower,Yukon (US)
1988,734.0747757,1030,MainstemLower,Yukon (US)
1989,754.6587302,763,MainstemLower,Yukon (US)
1990,748.3060837,1104,MainstemLower,Yukon (US)
1991,757.4166667,899,MainstemLower,Yukon (US)
1992,743.4653061,492,MainstemLower,Yukon (US)
1993,755.1975028,892,MainstemLower,Yukon (US)
1994,764.8200758,1056,MainstemLower,Yukon (US)
1995,766.7912351,1258,MainstemLower,Yukon (US)
1996,708.7996954,1313,MainstemLower,Yukon (US)
1997,708.074856,1588,MainstemLower,Yukon (US)
1998,697.5889621,1214,MainstemLower,Yukon (US)
1999,703.4314429,1416,MainstemLower,Yukon (US)
2000,732.7201493,1350,MainstemLower,Yukon (US)
2001,756.4651568,1728,MainstemLower,Yukon (US)
2002,676.5827787,2410,MainstemLower,Yukon (US)
2003,723.2537556,2501,MainstemLower,Yukon (US)
2004,703.7157414,2861,MainstemLower,Yukon (US)
2005,718.5402771,1956,MainstemLower,Yukon (US)
2006,712.7126963,1536,MainstemLower,Yukon (US)
2007,681.3338983,1773,MainstemLower,Yukon (US)
2008,697.5923685,2159,MainstemLower,Yukon (US)
2009,737.8314046,5023,MainstemLower,Yukon (US)
2010,702.9580247,2439,MainstemLower,Yukon (US)
2011,692.4075865,2692,MainstemLower,Yukon (US)
2012,706.1619645,1920,MainstemLower,Yukon (US)
2013,685.9091653,1225,MainstemLower,Yukon (US)
2014,684.5464135,475,MainstemLower,Yukon (US)
2015,711.0029873,1339,MainstemLower,Yukon (US)
2016,704.3512931,928,MainstemLower,Yukon (US)
2017,NA,NA,MainstemLower,Yukon (US)
1960,NA,NA,MainstemMid,Yukon (US)
1961,NA,NA,MainstemMid,Yukon (US)
1962,NA,NA,MainstemMid,Yukon (US)
1963,NA,NA,MainstemMid,Yukon (US)
1964,NA,NA,MainstemMid,Yukon (US)
1965,NA,NA,MainstemMid,Yukon (US)
1966,787.4545455,26,MainstemMid,Yukon (US)
1967,NA,NA,MainstemMid,Yukon (US)
1968,786.5263158,19,MainstemMid,Yukon (US)
1969,NA,NA,MainstemMid,Yukon (US)
1970,711.0160428,187,MainstemMid,Yukon (US)
1971,NA,NA,MainstemMid,Yukon (US)
1972,877.8978328,323,MainstemMid,Yukon (US)
1973,846.7894737,115,MainstemMid,Yukon (US)
1974,725.7948718,238,MainstemMid,Yukon (US)
1975,758.1610738,298,MainstemMid,Yukon (US)
1976,786.7440476,168,MainstemMid,Yukon (US)
1977,867,86,MainstemMid,Yukon (US)
1978,832.8068182,89,MainstemMid,Yukon (US)
1979,787.3229572,257,MainstemMid,Yukon (US)
1980,701.8021108,406,MainstemMid,Yukon (US)
1981,730.2257182,732,MainstemMid,Yukon (US)
1982,738.3610719,709,MainstemMid,Yukon (US)
1983,796.3943809,1016,MainstemMid,Yukon (US)
1984,767.105753,1198,MainstemMid,Yukon (US)
1985,788.3936262,1227,MainstemMid,Yukon (US)
1986,751.053184,1457,MainstemMid,Yukon (US)
1987,832.7962234,1271,MainstemMid,Yukon (US)
1988,809.7278518,1734,MainstemMid,Yukon (US)
1989,836.6568047,865,MainstemMid,Yukon (US)
1990,778.3063547,3170,MainstemMid,Yukon (US)
1991,782.3940887,1864,MainstemMid,Yukon (US)
1992,712.7509373,1903,MainstemMid,Yukon (US)
1993,711.4821429,845,MainstemMid,Yukon (US)
1994,798.4786535,1221,MainstemMid,Yukon (US)
1995,823.4738062,2163,MainstemMid,Yukon (US)
1996,786.0594109,2012,MainstemMid,Yukon (US)
1997,750.3237262,1944,MainstemMid,Yukon (US)
1998,731.2442105,475,MainstemMid,Yukon (US)
1999,786.2888514,752,MainstemMid,Yukon (US)
2000,712.9684343,794,MainstemMid,Yukon (US)
2001,780.5194805,948,MainstemMid,Yukon (US)
2002,730.7172848,1430,MainstemMid,Yukon (US)
2003,803.648,625,MainstemMid,Yukon (US)
2004,833.5111111,498,MainstemMid,Yukon (US)
2005,779.7872841,1274,MainstemMid,Yukon (US)
2006,774.0473738,972,MainstemMid,Yukon (US)
2007,712.4399038,417,MainstemMid,Yukon (US)
2008,757.7078086,397,MainstemMid,Yukon (US)
2009,765.1516684,993,MainstemMid,Yukon (US)
2010,714.5798561,696,MainstemMid,Yukon (US)
2011,734.0516129,1088,MainstemMid,Yukon (US)
2012,775.7695418,746,MainstemMid,Yukon (US)
2013,753.5574572,411,MainstemMid,Yukon (US)
2014,725.4829268,823,MainstemMid,Yukon (US)
2015,749.5903829,1124,MainstemMid,Yukon (US)
2016,668.1495536,898,MainstemMid,Yukon (US)
2017,NA,NA,MainstemMid,Yukon (US)
1960,826.2280702,57,Yukon (US),Yukon (US)
1961,812.2575758,66,Yukon (US),Yukon (US)
1962,NA,NA,Yukon (US),Yukon (US)
1963,NA,NA,Yukon (US),Yukon (US)
1964,802.305304,773,Yukon (US),Yukon (US)
1965,828.1812999,877,Yukon (US),Yukon (US)
1966,828.962787,1277,Yukon (US),Yukon (US)
1967,839.689008,1125,Yukon (US),Yukon (US)
1968,857.2676969,2007,Yukon (US),Yukon (US)
1969,842.932365,2203,Yukon (US),Yukon (US)
1970,795.1473146,1993,Yukon (US),Yukon (US)
1971,841.7975,2005,Yukon (US),Yukon (US)
1972,865.9918655,1913,Yukon (US),Yukon (US)
1973,850.9046843,2456,Yukon (US),Yukon (US)
1974,810.5042394,2010,Yukon (US),Yukon (US)
1975,789.2574204,1860,Yukon (US),Yukon (US)
1976,814.4446138,1979,Yukon (US),Yukon (US)
1977,861.1192457,1805,Yukon (US),Yukon (US)
1978,825.1362745,2041,Yukon (US),Yukon (US)
1979,787.0938909,2439,Yukon (US),Yukon (US)
1980,772.5434307,2770,Yukon (US),Yukon (US)
1981,812.1004452,3611,Yukon (US),Yukon (US)
1982,791.6485484,4581,Yukon (US),Yukon (US)
1983,790.4288335,6687,Yukon (US),Yukon (US)
1984,795.1137373,6409,Yukon (US),Yukon (US)
1985,800.9432741,7043,Yukon (US),Yukon (US)
1986,794.9672366,9300,Yukon (US),Yukon (US)
1987,833.5233254,8924,Yukon (US),Yukon (US)
1988,800.6568875,8773,Yukon (US),Yukon (US)
1989,810.0828128,6304,Yukon (US),Yukon (US)
1990,782.6820923,8703,Yukon (US),Yukon (US)
1991,795.9923048,8008,Yukon (US),Yukon (US)
1992,786.1907323,7311,Yukon (US),Yukon (US)
1993,775.9972574,7680,Yukon (US),Yukon (US)
1994,795.6899453,7494,Yukon (US),Yukon (US)
1995,811.3897149,9063,Yukon (US),Yukon (US)
1996,789.2102921,8805,Yukon (US),Yukon (US)
1997,780.2962118,9018,Yukon (US),Yukon (US)
1998,764.9040991,6540,Yukon (US),Yukon (US)
1999,794.7586854,8788,Yukon (US),Yukon (US)
2000,775.2932216,6597,Yukon (US),Yukon (US)
2001,795.0345802,8441,Yukon (US),Yukon (US)
2002,763.5238187,10684,Yukon (US),Yukon (US)
2003,801.3444825,11400,Yukon (US),Yukon (US)
2004,784.2937477,14112,Yukon (US),Yukon (US)
2005,779.7046614,11367,Yukon (US),Yukon (US)
2006,775.9268146,10042,Yukon (US),Yukon (US)
2007,759.1739866,10845,Yukon (US),Yukon (US)
2008,744.4141322,8827,Yukon (US),Yukon (US)
2009,764.0544954,10684,Yukon (US),Yukon (US)
2010,734.1537144,11125,Yukon (US),Yukon (US)
2011,738.5376355,10317,Yukon (US),Yukon (US)
2012,747.845604,7311,Yukon (US),Yukon (US)
2013,738.558695,3756,Yukon (US),Yukon (US)
2014,729.1647813,2656,Yukon (US),Yukon (US)
2015,731.0057582,4170,Yukon (US),Yukon (US)
2016,711.5883369,4642,Yukon (US),Yukon (US)
2017,NA,NA,Yukon (US),Yukon (US)
1960,NA,NA,Yukon (CA),Yukon (CA)
1961,NA,NA,Yukon (CA),Yukon (CA)
1962,NA,NA,Yukon (CA),Yukon (CA)
1963,NA,NA,Yukon (CA),Yukon (CA)
1964,NA,NA,Yukon (CA),Yukon (CA)
1965,NA,NA,Yukon (CA),Yukon (CA)
1966,NA,7,Yukon (CA),Yukon (CA)
1967,882.0985915,71,Yukon (CA),Yukon (CA)
1968,904.5,26,Yukon (CA),Yukon (CA)
1969,NA,NA,Yukon (CA),Yukon (CA)
1970,818.8571429,14,Yukon (CA),Yukon (CA)
1971,824.8586957,460,Yukon (CA),Yukon (CA)
1972,886.2888889,45,Yukon (CA),Yukon (CA)
1973,870.7142857,28,Yukon (CA),Yukon (CA)
1974,NA,NA,Yukon (CA),Yukon (CA)
1975,NA,NA,Yukon (CA),Yukon (CA)
1976,NA,NA,Yukon (CA),Yukon (CA)
1977,NA,NA,Yukon (CA),Yukon (CA)
1978,NA,NA,Yukon (CA),Yukon (CA)
1979,NA,NA,Yukon (CA),Yukon (CA)
1980,880.8410042,276,Yukon (CA),Yukon (CA)
1981,865.6408189,1640,Yukon (CA),Yukon (CA)
1982,876.1425856,527,Yukon (CA),Yukon (CA)
1983,876.3678533,953,Yukon (CA),Yukon (CA)
1984,865.1797386,617,Yukon (CA),Yukon (CA)
1985,881.8026172,941,Yukon (CA),Yukon (CA)
1986,853.2741738,841,Yukon (CA),Yukon (CA)
1987,875.0724432,707,Yukon (CA),Yukon (CA)
1988,887.8415584,395,Yukon (CA),Yukon (CA)
1989,853.5528942,511,Yukon (CA),Yukon (CA)
1990,833.1964981,529,Yukon (CA),Yukon (CA)
1991,832.31,300,Yukon (CA),Yukon (CA)
1992,881.1851852,406,Yukon (CA),Yukon (CA)
1993,870.7586207,145,Yukon (CA),Yukon (CA)
1994,868.6075949,158,Yukon (CA),Yukon (CA)
1995,864.2035398,226,Yukon (CA),Yukon (CA)
1996,NA,NA,Yukon (CA),Yukon (CA)
1997,885.6195965,347,Yukon (CA),Yukon (CA)
1998,845.4140127,314,Yukon (CA),Yukon (CA)
1999,877.1489362,236,Yukon (CA),Yukon (CA)
2000,859.1436464,366,Yukon (CA),Yukon (CA)
2001,871.7300613,329,Yukon (CA),Yukon (CA)
2002,842.4528302,106,Yukon (CA),Yukon (CA)
2003,888.7850467,110,Yukon (CA),Yukon (CA)
2004,905.4901961,208,Yukon (CA),Yukon (CA)
2005,853.5851852,270,Yukon (CA),Yukon (CA)
2006,825.6293706,287,Yukon (CA),Yukon (CA)
2007,844.2970297,330,Yukon (CA),Yukon (CA)
2008,847.9733333,377,Yukon (CA),Yukon (CA)
2009,848.9895013,383,Yukon (CA),Yukon (CA)
2010,839.6694215,364,Yukon (CA),Yukon (CA)
2011,830.6666667,639,Yukon (CA),Yukon (CA)
2012,859.5755968,377,Yukon (CA),Yukon (CA)
2013,837.0066667,150,Yukon (CA),Yukon (CA)
2014,833.3967552,718,Yukon (CA),Yukon (CA)
2015,829.8348837,430,Yukon (CA),Yukon (CA)
2016,817.556,250,Yukon (CA),Yukon (CA)
2017,NA,NA,Yukon (CA),Yukon (CA)
1960,NA,NA,Kuskokwim,Kuskokwim
1961,NA,NA,Kuskokwim,Kuskokwim
1962,NA,NA,Kuskokwim,Kuskokwim
1963,NA,NA,Kuskokwim,Kuskokwim
1964,919.004329,463,Kuskokwim,Kuskokwim
1965,927.7149758,209,Kuskokwim,Kuskokwim
1966,918.6501901,263,Kuskokwim,Kuskokwim
1967,902.1207207,555,Kuskokwim,Kuskokwim
1968,889.5855615,374,Kuskokwim,Kuskokwim
1969,876.4739336,431,Kuskokwim,Kuskokwim
1970,866.3759398,133,Kuskokwim,Kuskokwim
1971,902.9903475,518,Kuskokwim,Kuskokwim
1972,894.2185687,517,Kuskokwim,Kuskokwim
1973,876.2944162,591,Kuskokwim,Kuskokwim
1974,875.1022222,456,Kuskokwim,Kuskokwim
1975,823.7296512,344,Kuskokwim,Kuskokwim
1976,871.1832461,764,Kuskokwim,Kuskokwim
1977,867.3586667,750,Kuskokwim,Kuskokwim
1978,898.7979798,1089,Kuskokwim,Kuskokwim
1979,831.0497018,503,Kuskokwim,Kuskokwim
1980,821.0705036,696,Kuskokwim,Kuskokwim
1981,821.8227991,1773,Kuskokwim,Kuskokwim
1982,848.7060811,888,Kuskokwim,Kuskokwim
1983,859.9228792,2340,Kuskokwim,Kuskokwim
1984,869.9875223,1126,Kuskokwim,Kuskokwim
1985,842.0180481,1496,Kuskokwim,Kuskokwim
1986,869.5528169,568,Kuskokwim,Kuskokwim
1987,834.4840183,658,Kuskokwim,Kuskokwim
1988,816.8962901,1189,Kuskokwim,Kuskokwim
1989,831.0439276,774,Kuskokwim,Kuskokwim
1990,816.424,376,Kuskokwim,Kuskokwim
1991,850.4420063,1015,Kuskokwim,Kuskokwim
1992,772.1716814,1145,Kuskokwim,Kuskokwim
1993,808.2361331,635,Kuskokwim,Kuskokwim
1994,796.9709977,864,Kuskokwim,Kuskokwim
1995,835.3584906,1431,Kuskokwim,Kuskokwim
1996,825.3229167,672,Kuskokwim,Kuskokwim
1997,847.6426702,764,Kuskokwim,Kuskokwim
1998,809.8743961,415,Kuskokwim,Kuskokwim
1999,840.0508167,552,Kuskokwim,Kuskokwim
2000,813.4214286,420,Kuskokwim,Kuskokwim
2001,835.4897519,928,Kuskokwim,Kuskokwim
2002,815.8069117,1823,Kuskokwim,Kuskokwim
2003,837.2590325,1651,Kuskokwim,Kuskokwim
2004,830.1304087,1687,Kuskokwim,Kuskokwim
2005,803.9388697,2685,Kuskokwim,Kuskokwim
2006,837.0329341,2339,Kuskokwim,Kuskokwim
2007,819.2942812,2519,Kuskokwim,Kuskokwim
2008,820.0350644,2276,Kuskokwim,Kuskokwim
2009,833.8213296,2915,Kuskokwim,Kuskokwim
2010,817.9191011,1780,Kuskokwim,Kuskokwim
2011,819.6640231,1387,Kuskokwim,Kuskokwim
2012,800.9935305,1082,Kuskokwim,Kuskokwim
2013,829.6099426,1046,Kuskokwim,Kuskokwim
2014,819.8331479,900,Kuskokwim,Kuskokwim
2015,803.6222467,909,Kuskokwim,Kuskokwim
2016,769.6708185,562,Kuskokwim,Kuskokwim
2017,NA,NA,Kuskokwim,Kuskokwim
1960,NA,NA,Unalakleet,Norton Sound
1961,NA,NA,Unalakleet,Norton Sound
1962,NA,NA,Unalakleet,Norton Sound
1963,NA,NA,Unalakleet,Norton Sound
1964,NA,NA,Unalakleet,Norton Sound
1965,NA,NA,Unalakleet,Norton Sound
1966,NA,NA,Unalakleet,Norton Sound
1967,NA,NA,Unalakleet,Norton Sound
1968,NA,NA,Unalakleet,Norton Sound
1969,NA,NA,Unalakleet,Norton Sound
1970,NA,NA,Unalakleet,Norton Sound
1971,NA,NA,Unalakleet,Norton Sound
1972,NA,NA,Unalakleet,Norton Sound
1973,NA,NA,Unalakleet,Norton Sound
1974,NA,NA,Unalakleet,Norton Sound
1975,NA,NA,Unalakleet,Norton Sound
1976,835.5,10,Unalakleet,Norton Sound
1977,855.4444444,9,Unalakleet,Norton Sound
1978,NA,NA,Unalakleet,Norton Sound
1979,NA,NA,Unalakleet,Norton Sound
1980,NA,NA,Unalakleet,Norton Sound
1981,889,9,Unalakleet,Norton Sound
1982,877.75,4,Unalakleet,Norton Sound
1983,840.9354839,31,Unalakleet,Norton Sound
1984,873.0707071,99,Unalakleet,Norton Sound
1985,817.8947368,57,Unalakleet,Norton Sound
1986,864.8,25,Unalakleet,Norton Sound
1987,877.1875,16,Unalakleet,Norton Sound
1988,810,2,Unalakleet,Norton Sound
1989,854.6153846,13,Unalakleet,Norton Sound
1990,685.8333333,18,Unalakleet,Norton Sound
1991,700.64,25,Unalakleet,Norton Sound
1992,661.8181818,11,Unalakleet,Norton Sound
1993,758.8965517,29,Unalakleet,Norton Sound
1994,793.9473684,19,Unalakleet,Norton Sound
1995,811.8,25,Unalakleet,Norton Sound
1996,719.1891892,74,Unalakleet,Norton Sound
1997,830.0833333,60,Unalakleet,Norton Sound
1998,765.4464286,56,Unalakleet,Norton Sound
1999,851.4285714,28,Unalakleet,Norton Sound
2000,797.3529412,17,Unalakleet,Norton Sound
2001,844.2,25,Unalakleet,Norton Sound
2002,851.6666667,3,Unalakleet,Norton Sound
2003,813.75,8,Unalakleet,Norton Sound
2004,826.0909091,11,Unalakleet,Norton Sound
2005,630.8636364,44,Unalakleet,Norton Sound
2006,783,3,Unalakleet,Norton Sound
2007,785.3209877,81,Unalakleet,Norton Sound
2008,809.171875,64,Unalakleet,Norton Sound
2009,842.2457627,118,Unalakleet,Norton Sound
2010,848.6842105,57,Unalakleet,Norton Sound
2011,744.0210526,95,Unalakleet,Norton Sound
2012,777.2073171,82,Unalakleet,Norton Sound
2013,809.952381,84,Unalakleet,Norton Sound
2014,779.6666667,75,Unalakleet,Norton Sound
2015,775.76,75,Unalakleet,Norton Sound
2016,765.1,10,Unalakleet,Norton Sound
2017,NA,NA,Unalakleet,Norton Sound