Year,LateSummer_North,LateSummer_South,EarlySummer_North,EarlySummer_South,Winter_South,Winter_North,Winter_combined,EarlySummer_combined
1948,7.182,7.125,7.182,7.049,-1.243,-13.613,-7.428,7.1155
1949,7.082,6.359,7.082,6.036,-1.532,-14.456,-7.994,6.559
1950,6.93,6.459,6.93,6.233,-2.082,-12.792,-7.437,6.5815
1951,8.326,7.037,8.326,6.928,-3.162,-16.641,-9.9015,7.627
1952,8.41,6.69,8.41,6.147,-4.557,-18.162,-11.3595,7.2785
1953,9.376,6.651,9.376,7.356,-3.933,-17.034,-10.4835,8.366
1954,8.738,6.403,8.738,7.36,-3.962,-14.875,-9.4185,8.049
1955,9.043,6.406,9.043,7.513,-3.492,-18.764,-11.128,8.278
1956,9.618,6.5,9.618,7.87,-3.83,-15.971,-9.9005,8.744
1957,9.807,6.86,9.807,8.294,-4.132,-14.742,-9.437,9.0505
1958,9.4,6.818,9.4,8.185,-3.839,-16.52,-10.1795,8.7925
1959,9.242,6.845,9.242,8.249,-3.447,-14.898,-9.1725,8.7455
1960,9.207,6.557,9.207,7.935,-3.32,-14.963,-9.1415,8.571
1961,8.321,6.481,8.321,7.791,-1.702,-17.404,-9.553,8.056
1962,9.162,6.579,9.162,8.151,-1.638,-13.241,-7.4395,8.6565
1963,7.878,6.604,7.878,7.932,-0.976,-14.137,-7.5565,7.905
1964,9.344,5.807,9.344,7.482,-2.844,-20.26,-11.552,8.413
1965,7.512,6.211,7.512,7.354,-1.734,-18.017,-9.8755,7.433
1966,9.065,6.624,9.065,7.905,-2.14,-16.238,-9.189,8.485
1967,8.965,6.558,8.965,8.349,-2.388,-15.753,-9.0705,8.657
1968,8.905,6.406,8.905,8.114,-1.227,-14.389,-7.808,8.5095
1969,9.025,6.494,9.025,7.898,-1.896,-15.495,-8.6955,8.4615
1970,7.641,6.759,7.641,7.903,-3.515,-17.225,-10.37,7.772
1971,8.238,5.914,8.238,7.243,-2.038,-16.634,-9.336,7.7405
1972,7.667,6.227,7.667,7.389,-1.592,-14.405,-7.9985,7.528
1973,8.104,6.456,8.104,7.55,-2.621,-19.052,-10.8365,7.827
1974,9.313,6.78,9.313,7.836,-2.002,-16.67,-9.336,8.5745
1975,9.052,6.43,9.052,7.759,-4.337,-18.582,-11.4595,8.4055
1976,6.716,5.88,6.716,6.946,-3.402,-19.598,-11.5,6.831
1977,7.916,6.369,7.916,7.672,-8.014,-23.545,-15.7795,7.794
1978,6.631,6.486,6.631,7.493,-2.47,-15.659,-9.0645,7.062
1979,8.398,6.386,8.398,7.97,-1.023,-12.304,-6.6635,8.184
1980,8.929,6.178,8.929,7.925,-1.023,-14.56,-7.7915,8.427
1981,9.593,7.091,9.593,8.52,-1.489,-15.757,-8.623,9.0565
1982,7.373,6.624,7.373,7.014,-1.343,-12.982,-7.1625,7.1935
1983,9.398,6.767,9.398,8.171,-1.98,-15.756,-8.868,8.7845
1984,8.426,6.983,8.426,7.719,-1.7,-16.893,-9.2965,8.0725
1985,8.383,6.245,8.383,7.362,-2.865,-17.406,-10.1355,7.8725
1986,8.453,7.524,8.453,8.614,-1.265,-15.722,-8.4935,8.5335
1987,8.691,6.382,8.691,7.557,-3.441,-18.128,-10.7845,8.124
1988,8.299,6.672,8.299,7.252,-3.093,-17.328,-10.2105,7.7755
1989,10.104,7.324,10.104,8.977,-2.77,-15.251,-9.0105,9.5405
1990,9.423,6.373,9.423,8.81,-3.166,-18.488,-10.827,9.1165
1991,11.232,7.71,11.232,8.412,-2.102,-16.927,-9.5145,9.822
1992,8.08,6.199,8.08,7.368,-4.195,-18.22,-11.2075,7.724
1993,8.752,6.561,8.752,8.292,-4.081,-17.023,-10.552,8.522
1994,8.684,7.45,8.684,8.864,-3.44,-15.147,-9.2935,8.774
1995,9.037,7.243,9.037,7.554,-5.277,-16.585,-10.931,8.2955
1996,7.346,8.612,7.346,7.932,-1.507,-12.662,-7.0845,7.639
1997,8.573,8.218,8.573,7.907,-1.086,-13.521,-7.3035,8.24
1998,6.869,6.522,6.869,7.85,-3.383,-17.466,-10.4245,7.3595
1999,6.344,6.716,6.344,6.381,-3.562,-18.066,-10.814,6.3625
2000,8.457,6.531,8.457,7.48,-3.66,-15.684,-9.672,7.9685
2001,8.529,5.858,8.529,6.844,-3.775,-15.283,-9.529,7.6865
2002,8.373,7.494,8.373,6.17,-3.385,-15.747,-9.566,7.2715
2003,8.708,8.624,8.708,8.236,-2.319,-13.87,-8.0945,8.472
2004,8.552,8.129,8.552,8.05,-1.699,-14.084,-7.8915,8.301
2005,7.852,7.798,7.852,7.85,-2.618,-16.261,-9.4395,7.851
2006,9.304,8.691,9.304,8.338,-3.74,-17.562,-10.651,8.821
2007,9.738,7.753,9.738,8.442,-2.576,-13.85,-8.213,9.09
2008,9.729,9.213,9.729,9.077,-3.188,-16.978,-10.083,9.403
2009,8.409,7.851,8.409,7.862,-3.256,-18.549,-10.9025,8.1355
2010,11.05,8.505,11.05,9.557,-4.32,-17.554,-10.937,10.3035
2011,8.439,7.803,8.439,8.399,-2.978,-14.431,-8.7045,8.419
2012,8.776,7.277,8.776,7.351,-6.389,-19.835,-13.112,8.0635
2013,9.391,7.969,9.391,8.8,-4.497,-19.052,-11.7745,9.0955
2014,9.424,9.467,9.424,9.311,-2.731,-13.753,-8.242,9.3675
2015,9.842,8.185,9.842,8.372,-1.95,-13.703,-7.8265,9.107
2016,12.12,8.759,12.12,9.636,-5.153,-15.488,-10.3205,10.878
2017,9.209,8.598,9.209,8.783,-1.052,-11.657,-6.3545,8.996
2018,8.977,8.866,8.977,8.724,-0.572,-11.529,-6.0505,8.8505
2019,10.512,7.826,10.512,9.118,-3.688,-15.21,-9.449,9.815
2020,6.535,7.243,6.535,7.805,-2.467,-14.96,-8.7135,7.17
2021,4.84,7.301,4.84,7.399,-3.088,-17.947,-10.5175,6.1195