sampleYear,sexID,age_4,age_5,age_6,age_7,age_4l,age_5l,age_6l,age_7l,Length
1980,2,0.008,0.056,0.21,0.233,531.1766699,754.0155478,851.332616,892.7825888,866.5449532
1981,2,0.008,0.056,0.21,0.233,531.1766699,754.0155478,851.332616,892.7825888,866.5449532
1982,2,0.008,0.056,0.21,0.233,531.1766699,754.0155478,851.332616,892.7825888,866.5449532
1983,2,0,0.049,0.306,0.077,531.266,801.6307865,851.332616,869.0469952,733.4086153
1984,2,0,0.049,0.306,0.077,531.266,801.6307865,851.332616,869.0469952,733.4086153
1985,2,0,0.013,0.343,0.136,528.2218085,713.8558015,805.4094618,890.5688752,813.3058757
1986,2,0,0.018,0.346,0.203,528.2218085,717.3283058,826.2448135,892.2098038,959.8224103
1987,2,0,0.004,0.455,0.107,800.6334737,728.8396334,840.673342,904.6048982,964.4289065
1988,2,0,0.023,0.147,0.405,800.6334737,793.7559058,830.1742454,905.6275078,1014.142281
1989,2,0.011,0.07,0.373,0.125,800.6334737,804.0630648,833.1249039,877.8022791,971.1445136
1990,2,0.002,0.046,0.436,0.064,633.4397483,744.1853801,833.1249039,877.8022791,909.8424219
1991,2,0.002,0.09,0.335,0.138,699.195601,746.5386881,832.3890856,897.6896607,942.6367799
1992,2,0.009,0.041,0.348,0.021,769.0398406,817.1436595,838.8850569,856.0773776,700.6677467
1993,2,0,0.101,0.319,0.1,540.246,817.1436595,848.3574469,905.3357008,887.3822105
1994,2,0,0.058,0.283,0.071,653.6748396,756.8105453,848.3574469,886.1516122,693.7938672
1995,2,0.002,0.053,0.417,0.044,653.6748396,788.3631034,832.415201,873.1195929,857.2499901
1996,2,0.01,0.18,0.208,0.099,619.7161976,729.3138878,824.1673255,876.1342587,791.2755142
1997,2,0.012,0.037,0.509,0.02,881.5430101,791.3422912,833.8801807,896.6975525,964.4742878
1998,2,0.023,0.099,0.257,0.085,840.3315393,754.2371347,804.0322182,836.5975375,743.488345
1999,2,0,0.037,0.52,0.007,757.5329972,754.2371347,804.0322182,768.0937909,902.760368
2000,2,0.022,0.059,0.314,0.105,757.5329972,773.3949517,795.7654362,863.2430343,805.6137873
2001,2,0,0.014,0.271,0.075,543.9909769,721.609059,813.0959009,822.7264744,584.3120031
2002,2,0.001,0.031,0.272,0.135,543.9909769,721.9777706,807.9418469,887.4840762,724.991669
2003,2,0.001,0.048,0.359,0.047,643.5798571,794.7199121,854.7798832,897.1904344,775.6481283
2004,2,0,0.02,0.47,0.052,764.746,773.5215708,850.3231779,922.017665,926.1344872
2005,2,0,0.078,0.309,0.029,764.746,767.756596,824.2616686,872.7572849,679.7836627
2006,2,0.002,0.151,0.309,0.011,764.746,789.7684629,823.1306303,937.7350274,770.89396
2007,2,0.005141388,0.064267352,0.359897172,0.005141388,602.5,777,853.55,900,729.7017995
2008,2,0,0.085333333,0.245333333,0.037333333,602.5,756.71875,856.3586957,878.8888889,614.957037
2009,2,0,0.035548686,0.360123648,0,602.5,823.0434783,845.8583691,878.8888889,667.7434312
2010,2,0,0.107142857,0.264880952,0.032738095,602.5,764.0277778,838.258427,893.75,666.3169643
2011,2,0.002380952,0.066666667,0.388095238,0.054761905,575,725.8928571,864.3271605,871.25,865.8289389
2012,2,0,0.06097561,0.398373984,0.036585366,575,770.1333333,838.0204082,929.3333333,829.6097561
2013,2,0,0.079245283,0.403773585,0.033962264,575,751.1904762,850.1401869,923.8333333,868.3358491
2014,2,0,0.069306931,0.262376238,0.01980198,575,747.7142857,843.3670886,887.8,581.3629277
2015,2,0,0.077669903,0.324703344,0.018338727,575,781.1388889,840.4161074,930.3333333,701.2360625
2016,2,0,0.148648649,0.16966967,0.006006006,575,787.1010101,848.2432432,897,532.6200795
2017,2,0,0.136300417,0.361613352,0.011126565,575,785.9081633,850.6342412,828,847.8662106
2018,2,0.001428571,0.098571429,0.318571429,0.015714286,678,762.6231884,833.9681818,877,711.2025844
2019,2,0,0.164259928,0.305054152,0.009025271,678,759.3076923,836.9583333,875.5,775.8861312