Year,1,2,3,4,5,6,7,8,9,10,11,12
1948,0.677099407,3.428278923,1.854841113,-1.582999706,-3.062256813,-0.537664771,-0.93903029,0.382904559,0.361001581,-0.046772618,-2.424331665,2.517742634
1949,1.054840088,-2.458926678,0.140971035,-0.847330749,-2.344836235,2.190335989,-1.809675694,-1.357094526,-1.505331397,-1.453223944,-1.040665746,0.821938276
1950,0.490970254,-0.905712128,-0.169031948,0.552335083,1.413550615,3.191669226,-2.095482111,-0.84257853,1.523668408,0.270324707,-0.741331995,1.164841175
1951,-1.18967557,-1.209999084,2.165486574,3.042666674,-1.389029741,3.222334385,0.375486791,-0.915482044,-2.041997671,0.249355197,-0.491665661,2.010968208
1952,-1.533869624,1.697243571,-0.309030831,1.213668346,0.4151631,2.56166935,-0.33967492,1.942260742,-0.638664782,0.150647074,-0.214997858,-1.723546147
1953,2.75774312,0.570358813,-1.430320501,0.971002221,1.64064765,3.674667358,0.158711091,-1.575481772,0.376001477,0.417744309,-2.483664989,1.477743387
1954,-1.951610446,0.485003322,0.311938375,-1.555663586,0.715485632,-0.177665204,1.920325518,2.02806735,0.023001608,0.41871053,-0.997331262,2.011936903
1955,2.32548666,-1.992497563,-2.257739067,-0.523998022,1.736775517,1.930670619,-2.886126995,0.471936136,0.773336291,3.192905664,-1.302998304,1.727745295
1956,-2.372257948,-0.885860562,-0.004191737,1.624001622,3.214839697,1.28666842,1.710970521,1.440002441,1.494667053,0.02806682,-1.00033319,-1.269353032
1957,-0.801612616,2.140359163,1.563228488,2.928334951,-0.374515653,1.329668641,1.399356484,2.882904053,0.242669165,0.383549362,1.002334118,-0.858708024
1958,1.253226519,1.752501369,1.276777148,-1.568997145,1.270969987,-0.118999228,2.595807076,-0.933546007,-1.38999939,-1.657094598,1.445666552,0.930001557
1959,-0.643868208,0.084643774,2.11129117,0.756336451,-4.627094746,4.748000622,0.102581888,1.777098656,0.511666894,-0.879352689,-2.736666918,0.150000781
1960,1.67161417,2.768622637,1.993872404,-2.414665222,3.49774313,1.857666016,-0.67225647,0.48387146,-0.120664977,0.170324996,-2.134665012,0.901291907
1961,2.524195433,2.292501688,0.053871892,1.800666809,-2.225159645,0.109000139,1.229357839,-0.243547007,1.054334998,-1.849999666,-1.773665905,-0.86128974
1962,1.407743931,-0.437855303,0.029357418,0.371000677,2.728388071,0.895000696,-0.419030964,-1.089030147,-0.166665643,1.595162153,-0.377331555,0.597097576
1963,-2.70806241,1.61357224,-2.068708897,-2.046331882,0.977743804,3.191334486,-2.153224707,1.548712492,-0.948664367,-1.969029069,-2.365663767,-0.608708024
1964,2.430324316,-2.437928915,-1.435159445,-0.157331333,0.312581718,-2.476665735,5.001293182,-2.270642757,-0.725332141,-0.884837508,0.530001342,1.510000467
1965,2.322904587,0.724644244,3.950647116,-0.352665216,-0.311289132,0.534668982,0.670324504,0.842259586,-0.664997876,-1.091288924,-1.355666637,1.075161815
1966,1.137745023,-2.055354595,0.618064642,-2.054330349,1.265485168,1.627003431,1.030968428,-0.954190671,-1.90599823,-0.421287298,-0.736665845,-0.357094049
1967,2.553872347,-0.672855377,0.981291711,-0.641331971,-0.241288215,2.543000698,-0.147741005,1.820003867,-1.529332995,-0.59870863,-0.594665527,1.188710809
1968,-1.403869152,-0.640342474,-0.439354181,-0.080999248,-2.089999676,-2.460664988,-1.421610713,-0.308385044,-1.253998876,-1.3193537,-1.751331568,1.63645196
1969,-1.551289201,-0.158926278,0.462260574,2.185667992,-1.774514437,0.305335492,1.440646768,2.392904043,-0.505997717,-2.401610374,-0.908665955,0.447097272
1970,-0.069354638,0.588216484,1.520646095,-1.510332704,0.582260609,2.077667713,0.929031849,-0.046450216,-0.419665009,-0.847740412,2.242000818,-0.065803282
1971,2.433227062,0.36928612,0.097098075,-1.834665418,2.219033003,1.809335351,0.422582328,-1.259354591,0.618334472,1.853550553,-0.386999011,1.595484138
1972,2.185808182,0.297932059,0.360968798,1.793003321,-1.538384199,-0.154331967,1.358388543,0.476774156,-0.548665345,0.880969644,-0.760664344,3.105807304
1973,-3.728386641,0.724645317,-2.120321989,-2.111000061,-0.497095913,2.959001064,0.994195282,-1.310320973,-0.592998743,-0.773546755,-1.783332348,-1.19257772
1974,-2.896127939,-0.5310691,0.212581024,-0.668999255,-1.736126781,1.816334486,-1.164837718,-1.024513483,-2.564663649,0.156776175,-0.143664554,0.398388267
1975,-1.408062339,-2.817140818,-1.555159092,-1.179666162,-2.422901869,0.954001367,0.517421603,-1.550320506,-2.18699789,-1.984837174,-1.577665687,-0.871611536
1976,-0.56870836,-0.409308612,-0.644514024,-1.374997973,-2.434191704,-2.707331419,-2.098385334,-0.546129286,-3.443664074,-1.906451344,1.586668372,-0.272256672
1977,-0.123225547,-0.644642413,-1.527417541,-0.654664636,-2.284192562,1.571001172,1.550000548,-0.945804715,-2.305330992,-1.48193264,-0.464665741,2.285484552
1978,-0.906449854,0.925001979,-0.712900937,-1.797330737,2.28161478,-2.1873312,3.287421465,-1.438385487,-0.126998901,-2.100645065,-1.206999183,0.410002679
1979,-0.635804236,1.69535768,1.815162897,1.499667883,-0.440319926,-1.558331847,0.141936272,-1.01257813,-0.148666382,-4.074513912,2.133667469,0.682905138
1980,-0.85451287,0.435863614,2.411291838,0.065001935,1.89290452,0.375001013,-0.268708259,-1.735161066,-1.506664515,-1.289998651,-2.802996874,0.204840377
1981,-2.454192638,0.759645164,-1.125159502,0.423668921,0.61742276,-0.489665717,0.700002372,-3.848707199,0.104001366,-0.006449546,-1.252998352,-1.356773138
1982,0.400968969,-1.465356588,-1.249030352,-1.88499856,3.002580643,2.799000502,-2.663868666,-0.590965509,-2.454998255,-2.502903223,-3.335999012,2.99645257
1983,3.619035244,0.054288048,2.085486174,0.638667822,1.845486045,2.024000645,0.373873323,0.184194252,2.031668186,-1.045159101,-1.091996789,1.552260876
1984,-0.571288049,2.884483576,0.662258029,-1.265665174,3.111938,-0.628998339,0.323549837,0.687422216,0.450001538,-2.700964689,-2.069665432,1.695807219
1985,3.975163221,-0.637139976,-2.265160322,2.456668139,0.413550586,4.820335865,0.288711041,-0.154514924,-0.847997546,1.628065586,-0.413997918,-2.004837513
1986,0.911291778,1.110358596,1.217099071,-0.219664514,0.892582536,-0.988332093,-1.799675226,-1.829352617,-1.859665394,-0.204516008,-0.446666986,0.335161269
1987,-0.342579007,1.689287424,2.165163994,-0.565997303,0.30322659,1.327668786,-0.745483398,-1.246450663,-2.324331045,-0.513222992,-2.140998363,-0.856772125
1988,-0.968708634,2.206898212,-0.092257097,-3.249999046,0.685164392,1.070667505,0.679034829,-2.156772137,0.783669531,1.659357905,-3.151000023,-2.932578802
1989,-1.493868947,0.329287946,1.527742505,-1.226998448,-0.900965035,-1.115665674,2.04548645,1.506451964,-1.548997045,-0.139997423,0.238668308,2.463549137
1990,3.108711958,0.564645469,-1.094515443,-3.404997826,3.005163431,0.101334639,2.087419987,-2.478707552,-1.14466548,-2.529675007,-3.012664318,-0.999998033
1991,1.698388338,3.74750185,1.921613574,2.558999538,0.145163253,0.415669262,1.158066273,-0.940320432,0.588002026,-2.555482864,-0.51599884,-2.177740335
1992,-0.308707446,1.114830256,-0.765482724,4.080000877,4.621613979,2.322335243,-1.784514427,-2.410320759,-1.788332105,-3.295804977,-1.95266521,3.293873072
1993,4.808390141,3.147501707,0.440002441,-2.244331837,-1.85161078,-1.678331017,-0.522577584,-1.960321784,-2.028331041,-3.340967894,-1.022331715,0.054517683
1994,-0.350643039,0.835717857,-1.28644979,-0.340997308,0.794517756,1.682002306,-0.954192102,-1.332901955,-2.235331774,-0.589997351,-0.128332004,-0.404837817
1995,0.731293201,-0.61642617,-2.058706999,-0.697998583,0.51806742,-2.674664259,0.241936475,-0.599997759,0.603336096,1.937420726,-2.95666647,-3.672255993
1996,-0.48677212,2.110689878,-0.96709466,-0.624665856,-1.073869824,3.301001072,-0.391934782,0.89709866,0.408335358,-1.509675503,-1.581999183,-1.4025805
1997,0.667421401,0.016072955,-0.784192502,-0.39599812,1.221290827,2.147669077,-0.21999827,-1.111288786,-2.645663977,1.468712091,-1.510665894,1.15903306
1998,0.848389685,-0.887856066,0.563228965,1.370666981,-0.60032016,1.924334764,-1.442256331,-3.28290081,-0.320664465,-2.255481243,-0.083331302,-1.874836564
1999,1.923550963,-0.465710789,-0.156127438,-0.067664593,2.350970268,4.817669868,0.666452229,-2.274191141,0.425002038,-1.951934338,0.337334186,-1.992254972
2000,-0.838386774,0.668967426,3.256453991,0.559335351,-0.198061541,2.926669359,2.373873711,-1.576449513,-0.631996155,-3.164191484,-2.073664904,1.170001149
2001,2.098711491,0.684288025,0.965485632,-1.004332423,4.488389492,-0.184331253,-1.588062882,-0.968062341,-0.927997351,-2.550965786,-1.789333105,0.122583203
2002,-0.165481076,-0.400354654,1.719356894,2.13066864,2.150002241,0.847335279,0.276130915,-0.144836918,0.831000745,0.610969782,0.202335104,1.61613214
2003,2.806776047,1.841789246,2.326776266,0.436001599,2.869355679,0.91166991,-1.41870904,-1.438062072,-0.037330627,-2.906449318,-0.378997296,-0.415482074
2004,-0.194838002,4.171726704,3.519678354,4.071669579,-1.185804248,0.851004004,0.33806783,0.704517484,-0.385996997,1.273228288,1.498669982,2.420647383
2005,-1.709352016,0.677143633,-0.031609811,-4.426330566,2.798712492,2.717670202,0.774840295,-0.099997737,0.327334583,0.581291914,-3.432997227,-3.707738638
2006,2.268712759,3.38214612,-0.40612644,3.31866765,0.521290958,0.736669898,-0.470320672,0.873551428,-0.06633199,0.361614585,0.314334095,2.841939688
2007,0.551292181,0.254288822,-1.492900252,1.812334657,2.060646772,0.05066986,2.939358234,-1.240642428,1.902335644,-0.845480144,-0.848665357,0.39548713
2008,1.154841304,0.329657733,-0.110964864,-1.757329822,1.938712358,-1.382664442,-0.102902323,-2.133868217,1.916669726,-0.672901273,-1.090997815,-1.692899585
2009,0.338065863,-0.471425205,0.149679855,-1.521997571,-0.820319891,-0.51566416,-2.445805311,0.65548557,0.286667883,-4.963223934,-2.99433136,-1.755804777
2010,2.621937037,3.052501678,-1.577094316,0.429668158,-1.75999701,0.556335986,-0.278385282,-0.649353504,-0.462330133,-1.886126637,0.304669708,-4.009675026
2011,2.932259321,-0.514283299,1.260325313,-2.357331276,-4.587095261,1.25567019,-2.007739544,1.764518023,-0.523997486,-3.0029006,0.654668689,-0.426127762
2012,1.458388805,-1.60723877,1.240001559,0.790334582,3.064518213,-1.889664769,0.345163643,0.137743548,-1.193330407,-3.286127329,-1.007329822,0.422260404
2013,0.498389453,0.65535897,1.007099271,1.5720011,-1.606772184,-2.352664232,-1.796771169,-0.126127183,-0.419663996,-3.475803614,-1.528997779,-2.460643053
2014,1.712905407,1.58750093,0.986776531,0.915002942,1.091936707,1.36100316,-2.103545189,-3.264836073,-1.568998694,-2.433223009,-3.841666222,-1.157257199
2015,-2.618546963,-2.307142019,1.279839635,-1.304165363,2.703226805,-1.31999898,-2.224192619,-1.175805449,-2.694999456,1.062903881,-3.715832472,-0.5903216
2016,-0.221773103,-1.202585101,0.801614165,-0.09999878,1.179839849,1.314167738,-2.225805521,-1.366128206,-1.215832472,-0.383870065,-2.239998579,0.731452703
2017,1.406452537,2.17410779,1.607259154,-1.729998827,2.145968437,0.861667812,0.482259065,-1.944353938,-2.677499056,0.604033411,-3.864166021,-2.314514875
2018,0.900807738,1.344643712,-0.237095982,2.233334064,0.0225819,2.710834742,-1.651611805,-0.925805449,-1.101665497,-1.962095976,-2.984165668,1.308872104
2019,-2.385482788,-0.899998724,0.261291623,-1.484165788,-2.724998713,1.593334198,1.693549871,0.11693649,-3.358332396,1.618549585,-2.146665335,0.999194443
2020,1.07177484,1.506035686,1.277420282,-1.479999065,2.598387957,-0.040832281,0.633065701,0.169355884,-2.036665678,-0.453224599,-2.268332243,-2.065321922
2021,0.170968726,-0.973213196,-1.542740822,-0.414165795,0.302420169,2.29833436,0.0225817,-1.017740846,-1.709165812,-2.379030943,-1.99749887,-3.930644035